sensor, date, amplitude
Sensor 21,20250505,20.70
Sensor 21,20250506,2.82
Sensor 21,20250507,2.75
Sensor 21,20250508,6.39
Sensor 21,20250509,10.07
Sensor 21,20250510,9.88
Sensor 21,20250511,45.86
Sensor 21,20250512,2.01
Sensor 21,20250513,1.35
Sensor 21,20250514,9.38
Sensor 21,20250515,4.42
Sensor 21,20250516,14.39
Sensor 21,20250517,7.71
Sensor 21,20250518,8.49
Sensor 21,20250519,40.63
Sensor 21,20250520,22.14
Sensor 21,20250521,7.28
Sensor 21,20250522,7.95
Sensor 21,20250523,30.95
Sensor 21,20250524,68.98
Sensor 21,20250525,54.12
Sensor 21,20250526,19.50
Sensor 21,20250527,9.60
Sensor 21,20250528,4.29
Sensor 21,20250529,21.76
Sensor 21,20250530,14.27
Sensor 21,20250531,21.33
Sensor 21,20250601,64.33
Sensor 21,20250602,23.20
Sensor 21,20250603,22.04
Sensor 21,20250604,37.60
Sensor 21,20250605,0.00
Sensor 22,20250505,12.41
Sensor 22,20250506,3.51
Sensor 22,20250507,3.90
Sensor 22,20250508,205.07
Sensor 22,20250509,54.38
Sensor 22,20250510,174.31
Sensor 22,20250511,292.79
Sensor 22,20250512,138.23
Sensor 22,20250513,21.24
Sensor 22,20250514,9.79
Sensor 22,20250515,7.48
Sensor 22,20250516,14.47
Sensor 22,20250517,20.05
Sensor 22,20250518,1.63
Sensor 22,20250519,17.58
Sensor 22,20250520,40.83
Sensor 22,20250521,0.55
Sensor 22,20250522,0.15
Sensor 22,20250523,10.18
Sensor 22,20250524,2.25
Sensor 22,20250525,11.82
Sensor 22,20250526,50.35
Sensor 22,20250527,43.16
Sensor 22,20250528,58.43
Sensor 22,20250529,46.87
Sensor 22,20250530,37.65
Sensor 22,20250531,31.72
Sensor 22,20250601,16.87
Sensor 22,20250602,43.38
Sensor 22,20250603,24.47
Sensor 22,20250604,18.75
Sensor 23,20250504,0.00
Sensor 23,20250505,19.66
Sensor 23,20250506,2.59
Sensor 23,20250507,3.21
Sensor 23,20250508,16.61
Sensor 23,20250509,39.72
Sensor 23,20250510,0.05
Sensor 23,20250511,0.03
Sensor 23,20250512,0.09
Sensor 23,20250513,0.06
Sensor 23,20250514,2.19
Sensor 23,20250515,6.10
Sensor 23,20250516,5.23
Sensor 23,20250517,0.15
Sensor 23,20250518,0.31
Sensor 23,20250519,0.00
Sensor 23,20250520,0.13
Sensor 23,20250521,0.06
Sensor 23,20250522,0.02
Sensor 23,20250523,0.10
Sensor 23,20250524,0.02
Sensor 23,20250525,0.51
Sensor 23,20250526,0.28
Sensor 23,20250527,1.48
Sensor 23,20250528,2.07
Sensor 23,20250529,0.03
Sensor 23,20250530,1.60
Sensor 23,20250531,7.22
Sensor 23,20250601,0.89
Sensor 23,20250602,19.72
Sensor 23,20250603,42.18
Sensor 23,20250604,45.95
Sensor 24,20250505,31.35
Sensor 24,20250506,1.76
Sensor 24,20250507,1.64
Sensor 24,20250508,6.51
Sensor 24,20250509,10.49
Sensor 24,20250510,17.60
Sensor 24,20250511,19.51
Sensor 24,20250512,2.92
Sensor 24,20250513,4.33
Sensor 24,20250514,13.86
Sensor 24,20250515,28.08
Sensor 24,20250516,9.67
Sensor 24,20250517,9.48
Sensor 24,20250518,2.44
Sensor 24,20250519,28.98
Sensor 24,20250520,24.78
Sensor 24,20250521,4.24
Sensor 24,20250522,2.22
Sensor 24,20250523,6.01
Sensor 24,20250524,30.35
Sensor 24,20250525,29.49
Sensor 24,20250526,11.71
Sensor 24,20250527,6.87
Sensor 24,20250528,5.51
Sensor 24,20250529,12.24
Sensor 24,20250530,10.29
Sensor 24,20250531,15.77
Sensor 24,20250601,38.58
Sensor 24,20250602,13.24
Sensor 24,20250603,11.02
Sensor 24,20250604,22.95
Sensor 3,20250505,2.35
Sensor 3,20250506,1.03
Sensor 3,20250507,0.73
Sensor 3,20250508,0.77
Sensor 3,20250509,0.01
