sensor, date, amplitude
Sensor 20,20250608,88.18
Sensor 20,20250609,48.01
Sensor 20,20250610,87.34
Sensor 20,20250611,115.39
Sensor 20,20250612,283.42
Sensor 20,20250613,281.62
Sensor 20,20250614,113.53
Sensor 20,20250615,23.57
Sensor 20,20250616,10.24
Sensor 20,20250617,14.62
Sensor 20,20250618,9.91

Sensor 22,20250606,11.23
Sensor 22,20250607,10.02
Sensor 22,20250608,63.32
Sensor 22,20250609,10.72
Sensor 22,20250610,9.83
Sensor 22,20250611,26.01
Sensor 22,20250612,61.97
Sensor 22,20250613,108.83
Sensor 22,20250614,75.74
Sensor 22,20250615,6.57
Sensor 22,20250616,5.76
Sensor 22,20250617,7.65
Sensor 22,20250618,7.38
Sensor 22,20250619,4.22
Sensor 22,20250620,4.56
Sensor 22,20250621,1.52
Sensor 22,20250622,6.09
Sensor 22,20250623,1.81
Sensor 22,20250624,3.74
Sensor 22,20250625,7.26
Sensor 22,20250626,12.83
Sensor 22,20250627,2.19
Sensor 22,20250628,3.49
Sensor 22,20250629,1.68
Sensor 22,20250630,1.40
Sensor 22,20250701,0.00
Sensor 24,20250606,16.48
Sensor 24,20250607,17.35
Sensor 24,20250608,44.87
Sensor 24,20250609,13.42
Sensor 24,20250610,23.39
Sensor 24,20250611,42.32
Sensor 24,20250612,255.33
Sensor 24,20250613,220.14
Sensor 25,20250606,1.76
Sensor 25,20250607,3.49
Sensor 25,20250608,7.56
Sensor 25,20250609,8.92
Sensor 25,20250610,15.98
Sensor 25,20250611,7.50
Sensor 25,20250612,21.18
Sensor 25,20250613,32.80
Sensor 25,20250614,37.69
Sensor 25,20250615,5.47
Sensor 25,20250616,11.51
Sensor 25,20250617,5.74
Sensor 25,20250618,4.31
Sensor 25,20250619,1.57
Sensor 25,20250620,5.62
Sensor 25,20250621,2.39
Sensor 25,20250622,3.38
Sensor 25,20250623,3.20
Sensor 25,20250624,1.15
Sensor 25,20250625,0.23
Sensor 25,20250626,0.05
Sensor 25,20250627,0.12
Sensor 25,20250628,0.68
Sensor 25,20250629,0.93
Sensor 25,20250630,0.99
Sensor 25,20250701,0.68
Sensor 25,20250702,0.49
Sensor 25,20250703,1.62
Sensor 25,20250704,0.63
Sensor 25,20250705,2.73
Sensor 25,20250706,0.16
Sensor 25,20250707,0.00
Sensor 26,20250606,23.57
Sensor 26,20250607,15.40
Sensor 26,20250608,52.53
Sensor 26,20250609,12.21
